x,y,z,sitting,standing,walking,grazing
-0.187,0.883,0.414,0,1,0,0
-0.176,0.879,0.43,0,1,0,0
-0.148,0.875,0.422,0,1,0,0
-0.18,0.879,0.41,0,1,0,0
-0.176,0.887,0.414,0,1,0,0
-0.191,0.879,0.41,0,1,0,0
-0.16,0.875,0.422,0,1,0,0
-0.16,0.875,0.414,0,1,0,0
-0.168,0.895,0.41,0,1,0,0
-0.16,0.875,0.418,0,1,0,0
-0.168,0.891,0.422,0,1,0,0
-0.141,0.895,0.402,0,1,0,0
-0.172,0.895,0.41,0,1,0,0
-0.129,0.883,0.418,0,1,0,0
0.203,0.828,0.461,0,1,0,0
0.195,0.832,0.488,0,1,0,0
0.18,0.828,0.488,0,1,0,0
0.16,0.871,0.469,0,1,0,0
0.082,0.867,0.449,0,1,0,0
0.023,0.863,0.461,0,1,0,0
0.0,0.879,0.461,0,1,0,0
0.004,0.867,0.461,0,1,0,0
-0.059,0.891,0.438,0,1,0,0
-0.059,0.898,0.441,0,1,0,0
-0.031,0.875,0.438,0,1,0,0
-0.055,0.883,0.426,0,1,0,0
-0.078,0.902,0.426,0,1,0,0
-0.078,0.906,0.395,0,1,0,0
-0.082,0.906,0.402,0,1,0,0
-0.078,0.906,0.383,0,1,0,0
-0.094,0.906,0.398,0,1,0,0
-0.078,0.914,0.383,0,1,0,0
-0.098,0.918,0.375,0,1,0,0
-0.172,0.898,0.41,0,1,0,0
